"mrt_flow.中山","mrt_flow.北投","mrt_flow.北門","mrt_flow.古亭","mrt_flow.士林","mrt_flow.大橋頭","mrt_flow.松山"
11,6,4,6,5,1,2
0,0,0,0,11,0,0
383,524,186,495,569,285,440
1388,1665,1195,2219,2012,990,2023
4232,2591,2344,4947,2902,2030,4754
2418,1426,948,2640,1637,921,2242
2123,1099,584,1583,1368,614,978
2156,1011,498,1585,1321,540,877
2555,950,561,1702,1510,720,961
2752,1042,620,1790,1495,638,1009
2516,959,642,1695,1336,684,997
2827,1034,627,1695,1371,688,1132
3077,1131,735,1932,1624,736,1159
4260,1681,1360,3300,2550,1152,2103
6882,2469,2072,5210,3344,1782,4245
5205,1822,1296,3307,2474,1240,3106
3325,1120,654,2014,1478,712,1601
3090,838,471,1701,1225,642,1176
2285,751,320,1370,956,504,850
772,314,146,543,376,244,347
415,148,103,267,219,99,131
18,9,5,5,6,0,1
0,2,0,2,7,0,0
405,515,194,494,568,289,442
1356,1635,1133,2162,1986,994,1948
4026,2611,2307,4706,3002,1978,4593
2417,1530,904,2591,1846,994,2198
2154,1208,560,1661,1545,669,1005
2367,1071,505,1570,1479,592,817
2611,1176,641,1857,1620,604,990
2805,1202,666,1872,1699,623,1060
2858,984,627,1775,1454,613,983
2913,1033,698,1801,1472,637,1094
3211,1327,815,2008,1742,692,1240
4591,1798,1360,3338,2800,1154,2230
7144,2392,2057,5051,3529,1812,4099
5497,1771,1346,3120,2357,1201,3030
3625,1078,699,1981,1585,820,1516
3257,912,568,1747,1398,752,1178
2830,734,411,1457,1071,612,943
1045,377,180,620,443,351,419
359,139,82,236,161,108,168
10,4,3,8,3,0,0
0,2,0,2,4,0,0
260,299,89,273,314,191,219
337,572,180,513,516,365,427
550,727,273,832,772,346,509
1049,871,308,1026,997,459,633
1711,969,447,1253,1156,585,677
2313,940,428,1380,1258,659,728
2453,854,398,1284,1187,570,787
2918,860,575,1345,1303,608,758
3549,952,702,1575,1439,624,759
3717,969,737,1423,1487,716,884
3820,928,734,1535,1473,653,889
4326,1038,785,1668,1703,739,1075
4287,1005,704,1667,1645,762,1097
3321,828,603,1208,1298,624,1058
2826,679,478,1161,999,512,858
2746,678,400,1088,1045,527,874
2599,599,338,986,811,459,776
902,319,179,500,417,291,445
407,148,89,262,185,126,166
19,12,2,9,3,0,0
2,2,0,0,2,0,0
235,296,83,321,334,209,209
378,596,181,666,619,334,459
669,787,303,882,1033,360,498
