"datetime","metro_station","metro_flow"
2024-03-01 00:00:00,"中山",824
2024-03-01 00:00:00,"北投",274
2024-03-01 00:00:00,"北門",156
2024-03-01 00:00:00,"古亭",466
2024-03-01 00:00:00,"士林",277
2024-03-01 00:00:00,"大橋頭",221
2024-03-01 00:00:00,"松山",280
2024-03-01 01:00:00,"中山",38
2024-03-01 01:00:00,"北投",28
2024-03-01 01:00:00,"北門",7
2024-03-01 01:00:00,"古亭",7
2024-03-01 01:00:00,"士林",8
2024-03-01 01:00:00,"大橋頭",7
2024-03-01 01:00:00,"松山",0
2024-03-01 05:00:00,"中山",6
2024-03-01 05:00:00,"北投",0
2024-03-01 05:00:00,"北門",0
2024-03-01 05:00:00,"古亭",2
2024-03-01 05:00:00,"士林",4
2024-03-01 05:00:00,"大橋頭",0
2024-03-01 05:00:00,"松山",0
2024-03-01 06:00:00,"中山",567
2024-03-01 06:00:00,"北投",867
2024-03-01 06:00:00,"北門",438
2024-03-01 06:00:00,"古亭",695
2024-03-01 06:00:00,"士林",889
2024-03-01 06:00:00,"大橋頭",506
2024-03-01 06:00:00,"松山",651
2024-03-01 07:00:00,"中山",2292
2024-03-01 07:00:00,"北投",3649
2024-03-01 07:00:00,"北門",2020
2024-03-01 07:00:00,"古亭",3386
2024-03-01 07:00:00,"士林",4232
2024-03-01 07:00:00,"大橋頭",2300
2024-03-01 07:00:00,"松山",3383
2024-03-01 08:00:00,"中山",6525
2024-03-01 08:00:00,"北投",4022
2024-03-01 08:00:00,"北門",4341
2024-03-01 08:00:00,"古亭",7388
2024-03-01 08:00:00,"士林",4692
2024-03-01 08:00:00,"大橋頭",3330
2024-03-01 08:00:00,"松山",7373
2024-03-01 09:00:00,"中山",4010
2024-03-01 09:00:00,"北投",2293
2024-03-01 09:00:00,"北門",1850
2024-03-01 09:00:00,"古亭",4621
2024-03-01 09:00:00,"士林",3563
2024-03-01 09:00:00,"大橋頭",1674
2024-03-01 09:00:00,"松山",4039
2024-03-01 10:00:00,"中山",3646
2024-03-01 10:00:00,"北投",1670
2024-03-01 10:00:00,"北門",1414
2024-03-01 10:00:00,"古亭",2912
2024-03-01 10:00:00,"士林",2678
2024-03-01 10:00:00,"大橋頭",1119
2024-03-01 10:00:00,"松山",1748
2024-03-01 11:00:00,"中山",4370
2024-03-01 11:00:00,"北投",1606
2024-03-01 11:00:00,"北門",1121
2024-03-01 11:00:00,"古亭",2577
2024-03-01 11:00:00,"士林",2630
2024-03-01 11:00:00,"大橋頭",1107
2024-03-01 11:00:00,"松山",1431
2024-03-01 12:00:00,"中山",4935
2024-03-01 12:00:00,"北投",1643
2024-03-01 12:00:00,"北門",1324
2024-03-01 12:00:00,"古亭",3161
2024-03-01 12:00:00,"士林",3068
2024-03-01 12:00:00,"大橋頭",1334
2024-03-01 12:00:00,"松山",1685
2024-03-01 13:00:00,"中山",5297
2024-03-01 13:00:00,"北投",1607
2024-03-01 13:00:00,"北門",1639
2024-03-01 13:00:00,"古亭",3345
2024-03-01 13:00:00,"士林",3364
2024-03-01 13:00:00,"大橋頭",1247
2024-03-01 13:00:00,"松山",1659
2024-03-01 14:00:00,"中山",5291
2024-03-01 14:00:00,"北投",1501
2024-03-01 14:00:00,"北門",1423
2024-03-01 14:00:00,"古亭",2859
2024-03-01 14:00:00,"士林",2924
2024-03-01 14:00:00,"大橋頭",1050
2024-03-01 14:00:00,"松山",1534
