"datetime","mrt_station","mrt_flow","hour","day","next_dist","bus_cnt","bike_cnt","bike_flow","school_cnt","air_pressure","air_temperature","relative_humidity","precipitation","sunshine_duration","aqi","status","so2","co","o3","o3_8hr","pm10","pm2","no2","nox","no","windspeed","winddirec","co_8hr","pm2.1","pm10_avg","so2_avg"
"2023-11-01 00:00:00","中山",402,0,"Weekday",567.656880873855,54,23,81,4,1016.4,22.6,90,0,0,27,"良好",0.6,0.27,28.5,20.4,6,6,10.9,12.1,1.1,"1.2","104",0.4,8.4,9,1
"2023-11-01 00:00:00","北投",128,0,"Weekday",687.457889956981,31,11,5,4,1016.4,22.6,90,0,0,39,"良好",0.5,0.15,43.5,43,2,0,0.7,1.5,0.8,"4.4","180",0.1,3.2,5,0
"2023-11-01 00:00:00","北門",135,0,"Weekday",512.321365522758,71,13,26,2,1016.4,22.6,90,0,0,25,"良好",0.6,0.26,27.9,23.8,10,4,13.9,14.6,0.7,"1.6","85",0.3,7.6,15,1
"2023-11-01 00:00:00","古亭",255,0,"Weekday",821.482825496233,72,29,63,4,1016.4,22.6,90,0,0,29,"良好",0.7,0.16,34.7,31.2,6,10,6.6,7.4,0.7,"2.9","48",0.2,8.2,11,1
"2023-11-01 00:00:00","士林",200,0,"Weekday",966.537893615898,101,13,13,3,1016.4,22.6,90,0,0,33,"良好",0.3,0.15,39.5,36.3,6,9,3.9,4.3,0.4,"2.5","153",0.1,8.8,10,0
"2023-11-01 00:00:00","大橋頭",103,0,"Weekday",667.064144532519,68,23,36,8,1016.4,22.6,90,0,0,41,"良好",0.5,0.49,20.7,13.3,16,11,18.3,25.2,6.9,"-","-",0.8,12.7,23,1
"2023-11-01 00:00:00","松山",220,0,"Weekday",742.114262614521,70,28,33,2,1016.4,22.6,90,0,0,25,"良好",1.3,0.21,27,20.9,3,7,10.8,11.6,0.8,"1.2","62",0.2,7.7,5,1
"2023-11-01 01:00:00","中山",19,1,"Weekday",567.656880873855,54,23,39,4,1015.8,22.8,87,0,0,22,"良好",0.5,0.26,29.9,21.5,7,0,10.3,11,0.7,"1.3","117",0.4,6.8,9,1
"2023-11-01 01:00:00","北投",13,1,"Weekday",687.457889956981,31,11,2,4,1015.8,22.8,87,0,0,40,"良好",0.7,0.15,44.3,43.3,5,0,0.7,1.5,0.7,"5.5","150",0.1,2.5,5,0
"2023-11-01 01:00:00","北門",4,1,"Weekday",512.321365522758,71,13,13,2,1015.8,22.8,87,0,0,23,"良好",0.7,0.23,32.7,24.8,24,5,10.3,10.6,0.3,"1.7","81",0.3,7,17,1
"2023-11-01 01:00:00","古亭",3,1,"Weekday",821.482825496233,72,29,42,4,1015.8,22.8,87,0,0,31,"良好",0.7,0.12,39.7,33.1,9,9,2.4,3,0.6,"1.2","68",0.2,8.4,11,1
"2023-11-01 01:00:00","士林",1,1,"Weekday",966.537893615898,101,13,9,3,1015.8,22.8,87,0,0,34,"良好",0.2,0.14,39.2,37,6,6,3.3,3.8,0.5,"2.6","158",0.1,8.2,9,0
