"datetime","mrt_station","mrt_flow"
2023-11-01 00:00:00,"中山",402
2023-11-01 00:00:00,"北投",128
2023-11-01 00:00:00,"北門",135
2023-11-01 00:00:00,"古亭",255
2023-11-01 00:00:00,"士林",200
2023-11-01 00:00:00,"大橋頭",103
2023-11-01 00:00:00,"松山",220
2023-11-01 01:00:00,"中山",19
2023-11-01 01:00:00,"北投",13
2023-11-01 01:00:00,"北門",4
2023-11-01 01:00:00,"古亭",3
2023-11-01 01:00:00,"士林",1
2023-11-01 01:00:00,"大橋頭",1
2023-11-01 01:00:00,"松山",0
2023-11-01 05:00:00,"中山",0
2023-11-01 05:00:00,"北投",4
2023-11-01 05:00:00,"北門",0
2023-11-01 05:00:00,"古亭",0
2023-11-01 05:00:00,"士林",8
2023-11-01 05:00:00,"大橋頭",2
2023-11-01 05:00:00,"松山",0
2023-11-01 06:00:00,"中山",542
2023-11-01 06:00:00,"北投",1005
2023-11-01 06:00:00,"北門",465
2023-11-01 06:00:00,"古亭",723
2023-11-01 06:00:00,"士林",988
2023-11-01 06:00:00,"大橋頭",550
2023-11-01 06:00:00,"松山",718
2023-11-01 07:00:00,"中山",2439
2023-11-01 07:00:00,"北投",3953
2023-11-01 07:00:00,"北門",2005
2023-11-01 07:00:00,"古亭",3566
2023-11-01 07:00:00,"士林",4555
2023-11-01 07:00:00,"大橋頭",2428
2023-11-01 07:00:00,"松山",3572
2023-11-01 08:00:00,"中山",6515
2023-11-01 08:00:00,"北投",4033
2023-11-01 08:00:00,"北門",4005
2023-11-01 08:00:00,"古亭",7293
2023-11-01 08:00:00,"士林",4611
2023-11-01 08:00:00,"大橋頭",3105
2023-11-01 08:00:00,"松山",7357
2023-11-01 09:00:00,"中山",3892
2023-11-01 09:00:00,"北投",2339
2023-11-01 09:00:00,"北門",1801
2023-11-01 09:00:00,"古亭",4465
2023-11-01 09:00:00,"士林",3583
2023-11-01 09:00:00,"大橋頭",1523
2023-11-01 09:00:00,"松山",3797
2023-11-01 10:00:00,"中山",3201
2023-11-01 10:00:00,"北投",1712
2023-11-01 10:00:00,"北門",1171
2023-11-01 10:00:00,"古亭",2727
2023-11-01 10:00:00,"士林",2357
2023-11-01 10:00:00,"大橋頭",1021
2023-11-01 10:00:00,"松山",1603
2023-11-01 11:00:00,"中山",3844
2023-11-01 11:00:00,"北投",1694
2023-11-01 11:00:00,"北門",1114
2023-11-01 11:00:00,"古亭",2492
2023-11-01 11:00:00,"士林",2409
2023-11-01 11:00:00,"大橋頭",1013
2023-11-01 11:00:00,"松山",1419
2023-11-01 12:00:00,"中山",4317
2023-11-01 12:00:00,"北投",1801
2023-11-01 12:00:00,"北門",1191
2023-11-01 12:00:00,"古亭",2993
2023-11-01 12:00:00,"士林",2810
2023-11-01 12:00:00,"大橋頭",1116
2023-11-01 12:00:00,"松山",1643
2023-11-01 13:00:00,"中山",4237
2023-11-01 13:00:00,"北投",1620
2023-11-01 13:00:00,"北門",1402
2023-11-01 13:00:00,"古亭",3160
2023-11-01 13:00:00,"士林",2728
2023-11-01 13:00:00,"大橋頭",1007
2023-11-01 13:00:00,"松山",1621
2023-11-01 14:00:00,"中山",4196
2023-11-01 14:00:00,"北投",1541
2023-11-01 14:00:00,"北門",1225
2023-11-01 14:00:00,"古亭",2654
2023-11-01 14:00:00,"士林",2589
2023-11-01 14:00:00,"大橋頭",901
2023-11-01 14:00:00,"松山",1389
2023-11-01 15:00:00,"中山",4426
2023-11-01 15:00:00,"北投",1555
2023-11-01 15:00:00,"北門",1170
2023-11-01 15:00:00,"古亭",2698
2023-11-01 15:00:00,"士林",2650
2023-11-01 15:00:00,"大橋頭",1137
2023-11-01 15:00:00,"松山",1646
2023-11-01 16:00:00,"中山",5217
2023-11-01 16:00:00,"北投",2193
2023-11-01 16:00:00,"北門",1732
2023-11-01 16:00:00,"古亭",3705
2023-11-01 16:00:00,"士林",3643
2023-11-01 16:00:00,"大橋頭",1363
2023-11-01 16:00:00,"松山",2200
2023-11-01 17:00:00,"中山",7710
2023-11-01 17:00:00,"北投",3352
2023-11-01 17:00:00,"北門",2916
2023-11-01 17:00:00,"古亭",5819
2023-11-01 17:00:00,"士林",5522
2023-11-01 17:00:00,"大橋頭",2419
2023-11-01 17:00:00,"松山",4153
2023-11-01 18:00:00,"中山",10659
2023-11-01 18:00:00,"北投",4115
2023-11-01 18:00:00,"北門",3889
2023-11-01 18:00:00,"古亭",8056
2023-11-01 18:00:00,"士林",6543
2023-11-01 18:00:00,"大橋頭",2861
2023-11-01 18:00:00,"松山",7639
2023-11-01 19:00:00,"中山",7511
2023-11-01 19:00:00,"北投",2666
2023-11-01 19:00:00,"北門",2213
