"datetime","mrt_station","mrt_flow"
2022-06-01 00:00:00,"中山",240
2022-06-01 00:00:00,"北投",101
2022-06-01 00:00:00,"北門",58
2022-06-01 00:00:00,"古亭",224
2022-06-01 00:00:00,"士林",132
2022-06-01 00:00:00,"大橋頭",100
2022-06-01 00:00:00,"松山",113
2022-06-01 01:00:00,"中山",11
2022-06-01 01:00:00,"北投",6
2022-06-01 01:00:00,"北門",4
2022-06-01 01:00:00,"古亭",6
2022-06-01 01:00:00,"士林",5
2022-06-01 01:00:00,"大橋頭",1
2022-06-01 01:00:00,"松山",2
2022-06-01 05:00:00,"中山",0
2022-06-01 05:00:00,"北投",0
2022-06-01 05:00:00,"北門",0
2022-06-01 05:00:00,"古亭",0
2022-06-01 05:00:00,"士林",11
2022-06-01 05:00:00,"大橋頭",0
2022-06-01 05:00:00,"松山",0
2022-06-01 06:00:00,"中山",383
2022-06-01 06:00:00,"北投",524
2022-06-01 06:00:00,"北門",186
2022-06-01 06:00:00,"古亭",495
2022-06-01 06:00:00,"士林",569
2022-06-01 06:00:00,"大橋頭",285
2022-06-01 06:00:00,"松山",440
2022-06-01 07:00:00,"中山",1388
2022-06-01 07:00:00,"北投",1665
2022-06-01 07:00:00,"北門",1195
2022-06-01 07:00:00,"古亭",2219
2022-06-01 07:00:00,"士林",2012
2022-06-01 07:00:00,"大橋頭",990
2022-06-01 07:00:00,"松山",2023
2022-06-01 08:00:00,"中山",4232
2022-06-01 08:00:00,"北投",2591
2022-06-01 08:00:00,"北門",2344
2022-06-01 08:00:00,"古亭",4947
2022-06-01 08:00:00,"士林",2902
2022-06-01 08:00:00,"大橋頭",2030
2022-06-01 08:00:00,"松山",4754
2022-06-01 09:00:00,"中山",2418
2022-06-01 09:00:00,"北投",1426
2022-06-01 09:00:00,"北門",948
2022-06-01 09:00:00,"古亭",2640
2022-06-01 09:00:00,"士林",1637
2022-06-01 09:00:00,"大橋頭",921
2022-06-01 09:00:00,"松山",2242
2022-06-01 10:00:00,"中山",2123
2022-06-01 10:00:00,"北投",1099
2022-06-01 10:00:00,"北門",584
2022-06-01 10:00:00,"古亭",1583
2022-06-01 10:00:00,"士林",1368
2022-06-01 10:00:00,"大橋頭",614
2022-06-01 10:00:00,"松山",978
2022-06-01 11:00:00,"中山",2156
2022-06-01 11:00:00,"北投",1011
2022-06-01 11:00:00,"北門",498
2022-06-01 11:00:00,"古亭",1585
2022-06-01 11:00:00,"士林",1321
2022-06-01 11:00:00,"大橋頭",540
