"datetime","air_pressure","air_temperature","relative_humidity","precipitation","sunshine_duration"
"2022-05-09 01:00:00",1009.6,24.3,86,0,0
"2022-05-09 02:00:00",1008.8,24.1,87,0,0
"2022-05-09 03:00:00",1008.7,24.1,87,0,0
"2022-05-09 04:00:00",1009,24.2,86,0,0
"2022-05-09 05:00:00",1009.4,24.2,87,0,0
"2022-05-09 06:00:00",1010.1,24.2,86,0,0
"2022-05-09 07:00:00",1010.6,24.4,86,0,0
"2022-05-09 08:00:00",1011,24.9,81,0,0
"2022-05-09 09:00:00",1011,25.2,80,0,0
"2022-05-09 10:00:00",1010.9,26,77,0,0
"2022-05-09 11:00:00",1011,26.1,76,0,0
"2022-05-09 12:00:00",1010.6,27.1,70,0,0.6
"2022-05-09 13:00:00",1010.2,26.7,72,0,0
"2022-05-09 14:00:00",1009.6,25.8,75,0,0
"2022-05-09 15:00:00",1008.9,25.2,79,0.1,0
"2022-05-09 16:00:00",1008.5,24.9,81,0.1,0
"2022-05-09 17:00:00",1008.4,24.8,82,0.1,0
"2022-05-09 18:00:00",1008.4,24.8,82,0,0
"2022-05-09 19:00:00",1008.9,24.6,82,0,0
"2022-05-09 20:00:00",1009.2,24.4,81,0,0
"2022-05-09 21:00:00",1009.5,24.2,82,0,0
"2022-05-09 22:00:00",1009.4,24,84,0,0
"2022-05-09 23:00:00",1009.2,24,84,0,0
"2022-05-10 00:00:00",1008.9,23.8,86,0,0
"2022-05-10 01:00:00",1008.7,23.7,88,0,0
"2022-05-10 02:00:00",1007.6,23.8,87,0,0
"2022-05-10 03:00:00",1007.2,23.8,86,0,0
"2022-05-10 04:00:00",1006.9,23.8,85,0,0
"2022-05-10 05:00:00",1007.1,23.7,85,0,0
"2022-05-10 06:00:00",1007.6,24.2,83,0,0.4
"2022-05-10 07:00:00",1008.2,25.2,79,0,0.4
"2022-05-10 08:00:00",1008,25.9,76,0,0.1
"2022-05-10 09:00:00",1007.9,28.2,70,0,0.9
"2022-05-10 10:00:00",1007.7,29.6,65,0,0.6
"2022-05-10 11:00:00",1007.2,29.8,59,0,0.3
"2022-05-10 12:00:00",1006.8,28.8,67,0,0.1
"2022-05-10 13:00:00",1006.6,27,73,0,0
"2022-05-10 14:00:00",1006,26.3,88,2,0
"2022-05-10 15:00:00",1005.5,27.9,71,0.1,0.2
"2022-05-10 16:00:00",1005.2,27.3,75,0,0.2
"2022-05-10 17:00:00",1005.3,25.3,88,1.5,0
"2022-05-10 18:00:00",1006.3,25.6,90,0.1,0
"2022-05-10 19:00:00",1007,25.5,91,0,0
"2022-05-10 20:00:00",1007.5,24.6,92,0.5,0
"2022-05-10 21:00:00",1007.3,24.5,91,0.5,0
"2022-05-10 22:00:00",1007.3,24.2,94,0,0
"2022-05-10 23:00:00",1007,24.2,93,0,0
"2022-05-11 00:00:00",1006.4,24.2,92,0,0
"2022-05-11 01:00:00",1006.1,23.9,92,0,0
"2022-05-11 02:00:00",1005.7,23.9,93,0,0
"2022-05-11 03:00:00",1005.5,23.9,92,0,0
"2022-05-11 04:00:00",1005.4,23.9,92,0,0
"2022-05-11 05:00:00",1005.5,23.6,93,0.1,0
"2022-05-11 06:00:00",1006.3,23.8,91,0.1,0
"2022-05-11 07:00:00",1006.7,23.5,96,1.5,0
"2022-05-11 08:00:00",1007.1,23.4,96,4,0
"2022-05-11 09:00:00",1007.4,24.1,94,0.1,0
"2022-05-11 10:00:00",1007.9,24,96,3.5,0
"2022-05-11 11:00:00",1007.7,24.2,96,2.5,0
"2022-05-11 12:00:00",1007.1,24.5,95,0.5,0
"2022-05-11 13:00:00",1006.7,24.8,93,1,0
"2022-05-11 14:00:00",1005.9,25.6,90,0.1,0
"2022-05-11 15:00:00",1005,27.4,77,0,0.6
"2022-05-11 16:00:00",1004.6,27.5,75,0,0.4
"2022-05-11 17:00:00",1005,27.5,77,0,0.9
"2022-05-11 18:00:00",1005.7,26.6,76,0,1
"2022-05-11 19:00:00",1006.2,25.3,80,0,0
"2022-05-11 20:00:00",1006.5,25,80,0,0
"2022-05-11 21:00:00",1007.1,25.1,81,0,0
"2022-05-11 22:00:00",1007.4,25.1,84,0,0
"2022-05-11 23:00:00",1007.3,24.7,87,0,0
"2022-05-12 00:00:00",1006.7,24.4,88,0,0
"2022-05-12 01:00:00",1006.2,24.2,88,0,0
"2022-05-12 02:00:00",1005.4,24.1,88,0,0
"2022-05-12 03:00:00",1004.9,24,88,0,0
"2022-05-12 04:00:00",1005.2,23.9,88,0,0
"2022-05-12 05:00:00",1005.5,23.5,89,0,0
"2022-05-12 06:00:00",1005.9,23.5,91,0,0.3
"2022-05-12 07:00:00",1006.2,24.5,86,0,0.7
"2022-05-12 08:00:00",1006,25.3,83,0,0
"2022-05-12 09:00:00",1005.9,26.5,79,0,0.1
"2022-05-12 10:00:00",1005.5,28.1,73,0,0.2
"2022-05-12 11:00:00",1005.3,29.6,69,0,0.2
"2022-05-12 12:00:00",1004.5,30.6,63,0,0.8
"2022-05-12 13:00:00",1003.6,30.3,62,0,0.5
"2022-05-12 14:00:00",1003.6,25.4,92,6,0
"2022-05-12 15:00:00",1003.7,25.4,92,1.5,0
"2022-05-12 16:00:00",1003.8,24.6,96,11.5,0
"2022-05-12 17:00:00",1003.8,24.3,95,0.5,0
"2022-05-12 18:00:00",1004.3,24,95,3,0
"2022-05-12 19:00:00",1004.7,23.8,97,17.5,0
"2022-05-12 20:00:00",1004.6,24,96,0,0
"2022-05-12 21:00:00",1004.8,23.9,97,0,0
"2022-05-12 22:00:00",1005,24,96,0,0
"2022-05-12 23:00:00",1004.4,23.9,96,0.1,0
"2022-05-13 00:00:00",1003.7,23.8,96,0,0
"2022-05-13 01:00:00",1003.3,23.6,96,0,0
"2022-05-13 02:00:00",1003.5,23.7,96,0,0
"2022-05-13 03:00:00",1002.9,23.4,97,1.5,0
"2022-05-13 04:00:00",1002.2,23.4,97,0.5,0
"2022-05-13 05:00:00",1001.9,23.3,98,0.5,0
"2022-05-13 06:00:00",1001.8,23.4,98,0.5,0
"2022-05-13 07:00:00",1001.4,23.7,96,0,0
"2022-05-13 08:00:00",1002,25.1,92,0,0
"2022-05-13 09:00:00",1002,26.7,81,0,0.2
"2022-05-13 10:00:00",1002.4,28.4,72,0,0.8
"2022-05-13 11:00:00",1002.2,28.3,77,0,0.4
"2022-05-13 12:00:00",1001.6,28.8,67,0,0
"2022-05-13 13:00:00",1001.8,27.2,79,0.1,0
"2022-05-13 14:00:00",1001.3,27.8,68,0.5,0
"2022-05-13 15:00:00",1001.1,27.2,79,0,0
"2022-05-13 16:00:00",1001.2,26.7,83,0.1,0
"2022-05-13 17:00:00",1001.7,26.7,80,0,0
"2022-05-13 18:00:00",1002.7,26.5,82,0,0
"2022-05-13 19:00:00",1004,24.6,90,0.1,0
"2022-05-13 20:00:00",1004.1,24.4,84,0.1,0
"2022-05-13 21:00:00",1005.4,24,87,0.5,0
"2022-05-13 22:00:00",1005.8,23.6,92,0.1,0
"2022-05-13 23:00:00",1005.7,23.3,94,0.5,0
"2022-05-14 00:00:00",1005.8,23.2,90,0,0
"2022-05-14 01:00:00",1005.7,23.1,89,0.1,0
"2022-05-14 02:00:00",1005.5,22.3,94,1,0
"2022-05-14 03:00:00",1005.5,22,94,3.5,0
"2022-05-14 04:00:00",1005.8,22.1,94,0.5,0
"2022-05-14 05:00:00",1006,21.8,94,2,0
"2022-05-14 06:00:00",1006.5,21.6,94,3,0
"2022-05-14 07:00:00",1007.7,21.6,95,2,0
"2022-05-14 08:00:00",1008.3,21.7,95,1.5,0
"2022-05-14 09:00:00",1008.8,21.7,94,2,0
"2022-05-14 10:00:00",1009.3,21.8,95,3.5,0
"2022-05-14 11:00:00",1009.1,22,94,4,0
"2022-05-14 12:00:00",1008.2,22.9,92,2,0
"2022-05-14 13:00:00",1008.1,22.4,90,0.5,0
"2022-05-14 14:00:00",1007.3,22.2,92,1,0
"2022-05-14 15:00:00",1007.1,22.4,90,0.5,0
"2022-05-14 16:00:00",1007.2,22.2,88,0.1,0
"2022-05-14 17:00:00",1007.2,21.9,90,0,0
"2022-05-14 18:00:00",1007.5,21.6,89,0,0
"2022-05-14 19:00:00",1008.1,21.4,89,0,0
"2022-05-14 20:00:00",1008.7,21.4,90,0,0
"2022-05-14 21:00:00",1009,21.5,90,0,0
"2022-05-14 22:00:00",1009.5,21.5,90,0,0
"2022-05-14 23:00:00",1009.6,21.3,90,0,0
"2022-05-15 00:00:00",1009.3,21.2,91,0,0
"2022-05-15 01:00:00",1009,20.9,93,0.1,0
"2022-05-15 02:00:00",1008.3,20.9,92,0,0
"2022-05-15 03:00:00",1008.1,20.9,91,0.1,0
"2022-05-15 04:00:00",1008.5,20.6,92,0.1,0
"2022-05-15 05:00:00",1008.6,20.2,94,0.5,0
"2022-05-15 06:00:00",1009.6,20,93,0.5,0
"2022-05-15 07:00:00",1010.2,20.1,90,0.1,0
"2022-05-15 08:00:00",1010.7,20.4,88,0,0
"2022-05-15 09:00:00",1011,20.5,86,0,0
"2022-05-15 10:00:00",1011.2,20.5,88,0.1,0
"2022-05-15 11:00:00",1011,20.7,83,0.1,0
"2022-05-15 12:00:00",1010.5,20.8,80,0,0
"2022-05-15 13:00:00",1009.7,20.2,79,0,0
"2022-05-15 14:00:00",1009.6,20.1,75,0,0
"2022-05-15 15:00:00",1009.3,19.8,80,0.1,0
"2022-05-15 16:00:00",1009,19.2,87,0.1,0
"2022-05-15 17:00:00",1009.1,18.8,92,0.5,0
"2022-05-15 18:00:00",1009.5,18.3,91,0.5,0
"2022-05-15 19:00:00",1009.7,18,92,1.5,0
"2022-05-15 20:00:00",1010.5,17.9,92,5,0
"2022-05-15 21:00:00",1011.6,17.7,93,3,0
"2022-05-15 22:00:00",1011.5,17.8,93,2,0
"2022-05-15 23:00:00",1011.1,17.8,94,0.5,0
"2022-05-16 00:00:00",1010.4,17.7,94,1,0
"2022-05-16 01:00:00",1009.9,17.8,94,2,0
"2022-05-16 02:00:00",1009.8,17.7,94,2,0
"2022-05-16 03:00:00",1009.8,17.5,94,2,0
"2022-05-16 04:00:00",1009.8,17.2,93,2.5,0
"2022-05-16 05:00:00",1009.9,17,92,0.1,0
"2022-05-16 06:00:00",1010.3,16.9,94,3,0
"2022-05-16 07:00:00",1011.1,17.1,94,1.5,0
"2022-05-16 08:00:00",1011.2,17.7,95,1,0
"2022-05-16 09:00:00",1010.9,18,93,0.5,0
"2022-05-16 10:00:00",1011.3,18.2,89,0.1,0
"2022-05-16 11:00:00",1011.2,18,90,0.5,0
"2022-05-16 12:00:00",1010.7,18,92,2,0
"2022-05-16 13:00:00",1010,18.4,91,0.5,0
"2022-05-16 14:00:00",1009.7,18.4,92,1.5,0
"2022-05-16 15:00:00",1009.2,18.5,93,0.5,0
"2022-05-16 16:00:00",1009.3,18.1,93,1.5,0
"2022-05-16 17:00:00",1009.6,18.2,91,0.1,0
"2022-05-16 18:00:00",1009.7,17.8,93,1,0
"2022-05-16 19:00:00",1009.9,17.6,93,1,0
"2022-05-16 20:00:00",1010.7,17.3,94,3,0
"2022-05-16 21:00:00",1010.8,17.2,95,6,0
"2022-05-16 22:00:00",1011.2,17.2,95,6,0
"2022-05-16 23:00:00",1011.1,17,95,3,0
"2022-05-17 00:00:00",1010.5,17.1,96,2.5,0
"2022-05-17 01:00:00",1009.9,17.2,96,3,0
"2022-05-17 02:00:00",1009.6,17.2,96,3.5,0
"2022-05-17 03:00:00",1009.3,17.2,96,2,0
"2022-05-17 04:00:00",1009.2,17.5,95,0.1,0
"2022-05-17 05:00:00",1009.6,17.7,95,0,0
"2022-05-17 06:00:00",1010.2,17.9,94,0,0
"2022-05-17 07:00:00",1011,18.1,90,0,0
"2022-05-17 08:00:00",1011.4,18.7,87,0,0
