"datetime","mrt_station","bike_flow"
2022-06-01 00:00:00,"中山",58
2022-06-01 00:00:00,"北投",5
2022-06-01 00:00:00,"北門",22
2022-06-01 00:00:00,"古亭",45
2022-06-01 00:00:00,"士林",11
2022-06-01 00:00:00,"大橋頭",20
2022-06-01 00:00:00,"松山",26
2022-06-01 01:00:00,"中山",33
2022-06-01 01:00:00,"北投",3
2022-06-01 01:00:00,"北門",18
2022-06-01 01:00:00,"古亭",28
2022-06-01 01:00:00,"士林",4
2022-06-01 01:00:00,"大橋頭",6
2022-06-01 01:00:00,"松山",13
2022-06-01 02:00:00,"中山",17
2022-06-01 02:00:00,"北投",3
2022-06-01 02:00:00,"北門",8
2022-06-01 02:00:00,"古亭",13
2022-06-01 02:00:00,"士林",5
2022-06-01 02:00:00,"大橋頭",6
2022-06-01 02:00:00,"松山",13
2022-06-01 03:00:00,"中山",14
2022-06-01 03:00:00,"北門",7
2022-06-01 03:00:00,"古亭",8
2022-06-01 03:00:00,"士林",2
2022-06-01 03:00:00,"大橋頭",6
2022-06-01 03:00:00,"松山",2
2022-06-01 04:00:00,"中山",25
2022-06-01 04:00:00,"北門",7
2022-06-01 04:00:00,"古亭",8
2022-06-01 04:00:00,"士林",4
2022-06-01 04:00:00,"大橋頭",14
2022-06-01 04:00:00,"松山",7
2022-06-01 05:00:00,"中山",36
2022-06-01 05:00:00,"北投",8
2022-06-01 05:00:00,"北門",23
2022-06-01 05:00:00,"古亭",36
2022-06-01 05:00:00,"士林",11
2022-06-01 05:00:00,"大橋頭",33
2022-06-01 05:00:00,"松山",40
2022-06-01 06:00:00,"中山",88
2022-06-01 06:00:00,"北投",43
2022-06-01 06:00:00,"北門",39
2022-06-01 06:00:00,"古亭",95
2022-06-01 06:00:00,"士林",36
2022-06-01 06:00:00,"大橋頭",55
2022-06-01 06:00:00,"松山",66
2022-06-01 07:00:00,"中山",210
2022-06-01 07:00:00,"北投",82
2022-06-01 07:00:00,"北門",117
2022-06-01 07:00:00,"古亭",281
2022-06-01 07:00:00,"士林",96
2022-06-01 07:00:00,"大橋頭",120
2022-06-01 07:00:00,"松山",185
2022-06-01 08:00:00,"中山",341
2022-06-01 08:00:00,"北投",77
2022-06-01 08:00:00,"北門",176
2022-06-01 08:00:00,"古亭",409
2022-06-01 08:00:00,"士林",113
2022-06-01 08:00:00,"大橋頭",182
2022-06-01 08:00:00,"松山",273
2022-06-01 09:00:00,"中山",196
2022-06-01 09:00:00,"北投",49
2022-06-01 09:00:00,"北門",139
2022-06-01 09:00:00,"古亭",268
2022-06-01 09:00:00,"士林",75
2022-06-01 09:00:00,"大橋頭",107
2022-06-01 09:00:00,"松山",136
2022-06-01 10:00:00,"中山",160
2022-06-01 10:00:00,"北投",33
2022-06-01 10:00:00,"北門",91
2022-06-01 10:00:00,"古亭",209
2022-06-01 10:00:00,"士林",74
2022-06-01 10:00:00,"大橋頭",85
2022-06-01 10:00:00,"松山",74
2022-06-01 11:00:00,"中山",178
2022-06-01 11:00:00,"北投",29
2022-06-01 11:00:00,"北門",86
2022-06-01 11:00:00,"古亭",216
2022-06-01 11:00:00,"士林",53
2022-06-01 11:00:00,"大橋頭",112
2022-06-01 11:00:00,"松山",90
2022-06-01 12:00:00,"中山",257
2022-06-01 12:00:00,"北投",45
2022-06-01 12:00:00,"北門",147
2022-06-01 12:00:00,"古亭",293
2022-06-01 12:00:00,"士林",77
2022-06-01 12:00:00,"大橋頭",123
2022-06-01 12:00:00,"松山",114
2022-06-01 13:00:00,"中山",240
2022-06-01 13:00:00,"北投",45
2022-06-01 13:00:00,"北門",148
2022-06-01 13:00:00,"古亭",272
2022-06-01 13:00:00,"士林",85
