序號,車站,出口,公車名稱
1,BL01_頂埔,出口2,571善息寺-南天母廣場
2,BL01_頂埔,出口2,705-西門
3,BL01_頂埔,出口2,706-西門
4,BL01_頂埔,出口2,707-松山機場
5,BL01_頂埔,出口2,812-捷運永寧站
6,BL01_頂埔,出口2,北大社區_捷運頂埔站-捷運頂埔站
7,BL01_頂埔,出口2,藍45-捷運永寧站
8,BL01_頂埔,出口2,藍46-捷運頂埔站
9,BL01_頂埔,出口3,9103-捷運頂埔站
10,BL01_頂埔,出口4,571善息寺-善息寺
11,BL01_頂埔,出口4,705-三峽
12,BL01_頂埔,出口4,706-三峽
13,BL01_頂埔,出口4,707-三峽
14,BL01_頂埔,出口4,812-三峽
15,BL01_頂埔,出口4,9103-大溪總站
16,BL01_頂埔,出口4,藍45-成福
17,BL01_頂埔,出口4,藍46-二鬮
18,BL02_永寧,出口1,916-三峽
19,BL02_永寧,出口1,917-鶯歌
20,BL02_永寧,出口1,922-三峽北大社區
21,BL02_永寧,出口2,571善息寺-南天母廣場
22,BL02_永寧,出口2,571善息寺-善息寺
23,BL02_永寧,出口2,573信義國小-信義國小
24,BL02_永寧,出口2,573信義國小-南天母廣場
25,BL02_永寧,出口2,574信義國小-信義國小
26,BL02_永寧,出口2,574信義國小-南天母廣場
27,BL02_永寧,出口2,575承天路-南天母廣場
28,BL02_永寧,出口2,575承天路-捷運永寧站
29,BL02_永寧,出口2,承天路_南天母廣場-土城區公所
30,BL02_永寧,出口2,承天路_南天母廣場-南天母廣場
31,BL02_永寧,出口2,藍17-捷運永寧站
32,BL02_永寧,出口2,藍43延-三峽
33,BL02_永寧,出口2,藍44延-樹林
34,BL02_永寧,出口3,NULL
35,BL02_永寧,出口3,1851-板橋客運站
36,BL02_永寧,出口3,5611-新庄子
37,BL02_永寧,出口3,705-西門
38,BL02_永寧,出口3,706-西門
39,BL02_永寧,出口3,707-松山機場
40,BL02_永寧,出口3,7301-大雅站
41,BL02_永寧,出口3,805捷運永寧站-五股
42,BL02_永寧,出口3,812-捷運永寧站
43,BL02_永寧,出口3,916-捷運永寧站
44,BL02_永寧,出口3,917-捷運永寧站
45,BL02_永寧,出口3,922-捷運永寧站
46,BL02_永寧,出口3,三峽_捷運永寧站-捷運永寧站
47,BL02_永寧,出口3,捷運頂溪站_捷運永寧站-捷運頂溪站
48,BL02_永寧,出口3,藍17-五福新村
49,BL02_永寧,出口3,藍43-三峽
50,BL02_永寧,出口3,藍44-樹林
51,BL02_永寧,出口3,藍45-捷運永寧站
52,BL02_永寧,出口4,705-三峽
53,BL02_永寧,出口4,706-三峽
54,BL02_永寧,出口4,707-三峽
55,BL02_永寧,出口4,805捷運永寧站-土城
56,BL02_永寧,出口4,812-三峽
57,BL02_永寧,出口4,捷運頂溪站_捷運永寧站-捷運永寧站
58,BL02_永寧,出口4,藍43延-捷運永寧站
59,BL02_永寧,出口4,藍43-捷運永寧站
60,BL02_永寧,出口4,藍44延-南天母廣場
61,BL02_永寧,出口4,藍44-捷運永寧站
62,BL02_永寧,出口4,藍45-成福
63,BL03_土城,出口1,706-三峽
64,BL03_土城,出口1,847區繞駛土城醫院-樹林
65,BL03_土城,出口1,捷運頂溪站_捷運永寧站-捷運永寧站
66,BL03_土城,出口1,藍17-捷運永寧站
67,BL03_土城,出口1,藍40-土城
68,BL03_土城,出口2,570山中湖-山中湖
69,BL03_土城,出口2,570山中湖-南天母廣場
70,BL03_土城,出口2,572金城路口-金城路口
71,BL03_土城,出口2,572金城路口-南天母廣場
72,BL03_土城,出口2,承天路_南天母廣場-土城區公所
73,BL03_土城,出口3,706-西門
74,BL03_土城,出口3,847區繞駛土城醫院-捷運亞東醫院站
75,BL03_土城,出口3,捷運頂溪站_捷運永寧站-捷運頂溪站
76,BL03_土城,出口3,藍17-五福新村
